population,dti_bucket,count
accepted,0-5,115069
accepted,5-10,292779
accepted,10-15,447089
accepted,15-20,475217
accepted,20-25,399409
accepted,25-30,283361
accepted,30-35,163044
accepted,35-40,55790
accepted,40-45,7858
accepted,45-50,5588
accepted,50-55,3201
accepted,55-60,2237
accepted,60+,8313
rejected,0-5,4148155
rejected,5-10,2611715
rejected,10-15,2940294
rejected,15-20,2926757
rejected,20-25,2561959
rejected,25-30,2105767
rejected,30-35,1717990
rejected,35-40,1440676
rejected,40-45,1161342
rejected,45-50,793473
rejected,50-55,551368
rejected,55-60,377709
rejected,60+,3108473
