month,n_accepted,n_rejected,applications,approval_rate
2007-05,0,49,49,0.0
2007-06,24,289,313,0.07667731629392971
2007-07,63,266,329,0.19148936170212766
2007-08,74,222,296,0.25
2007-09,53,418,471,0.11252653927813164
2007-10,105,982,1087,0.09659613615455381
2007-11,112,1345,1457,0.07687028140013727
2007-12,172,1703,1875,0.09173333333333333
2008-01,305,2876,3181,0.095881798176674
2008-02,306,1926,2232,0.13709677419354838
2008-03,402,3037,3439,0.11689444605990114
2008-04,259,2844,3103,0.08346761198839832
2008-05,115,1196,1311,0.08771929824561403
2008-06,124,1345,1469,0.08441116405718176
2008-07,141,1257,1398,0.10085836909871244
2008-08,100,1265,1365,0.07326007326007326
2008-09,57,1006,1063,0.053621825023518345
2008-10,122,2311,2433,0.05014385532264694
2008-11,209,3295,3504,0.05964611872146119
2008-12,253,3238,3491,0.07247207103981668
2009-01,269,3096,3365,0.07994056463595839
2009-02,302,2657,2959,0.10206150726596823
2009-03,324,4382,4706,0.06884827879303017
2009-04,333,5700,6033,0.055196419691695676
2009-05,359,6607,6966,0.0515360321561872
2009-06,406,7423,7829,0.05185847490100907
2009-07,411,5571,5982,0.0687061183550652
2009-08,446,4201,4647,0.09597589842909404
2009-09,507,5122,5629,0.09006928406466513
2009-10,604,4114,4718,0.12802034760491734
2009-11,662,3965,4627,0.14307326561486924
2009-12,658,4153,4811,0.13676990230721264
2010-01,662,4913,5575,0.11874439461883408
2010-02,682,4879,5561,0.12263981298327639
2010-03,828,6540,7368,0.11237785016286644
2010-04,912,6718,7630,0.11952817824377457
2010-05,989,9112,10101,0.09791109791109791
2010-06,1105,11121,12226,0.09038115491575331
2010-07,1204,11774,12978,0.09277238403451996
2010-08,1175,11365,12540,0.09370015948963317
2010-09,1189,11240,12429,0.0956633679298415
2010-10,1232,11223,12455,0.09891609795262947
2010-11,1224,11781,13005,0.09411764705882353
2010-12,1335,11895,13230,0.10090702947845805
2011-01,1380,13723,15103,0.0913725749851023
2011-02,1298,14716,16014,0.08105407768202823
2011-03,1448,17966,19414,0.07458535077778923
2011-04,1563,17587,19150,0.08161879895561358
2011-05,1704,6380,8084,0.21078673923800098
2011-06,1835,20598,22433,0.0817991352026033
2011-07,1875,22142,24017,0.07806970062872132
2011-08,1934,21298,23232,0.08324724517906336
2011-09,2067,20814,22881,0.09033696079716795
2011-10,2118,19496,21614,0.09799204219487369
2011-11,2232,24027,26259,0.08499942876727978
2011-12,2267,19045,21312,0.106371996996997
2012-01,2602,19755,22357,0.11638413025003355
2012-02,2560,15063,17623,0.14526471088917892
2012-03,2914,21638,24552,0.11868686868686869
2012-04,3230,24870,28100,0.11494661921708185
2012-05,3400,25875,29275,0.1161400512382579
2012-06,3817,26881,30698,0.12434034790540101
