state,applications,accepted,approval_rate,funded_amnt
CA,3556702,314533,0.08843389184699758,4806351950.0
TX,2681846,186335,0.06948012674851577,2930155075.0
FL,2329575,161991,0.06953671807089276,2332060875.0
NY,2177568,186389,0.08559503078663903,2766038050.0
GA,1157810,74196,0.06408305335072248,1136340900.0
PA,1124633,76939,0.06841253991302051,1131593850.0
IL,1092219,91173,0.08347501737288951,1410059775.0
OH,1086444,75132,0.06915404751648498,1076886475.0
NJ,936437,83132,0.0887747921109482,1315538050.0
NC,926590,62730,0.06769984567068499,930156350.0
MI,814411,58770,0.07216258130108753,841400600.0
VA,801788,62954,0.07851701447265362,1012674150.0
MD,648766,54008,0.08324727251428096,856563300.0
AZ,642657,53777,0.08367916322392815,780688075.0
TN,611502,35483,0.05802597538519907,522309475.0
MA,598555,51784,0.08651502368203423,811425700.0
IN,554839,37515,0.06761420880651865,550766125.0
WA,544910,47060,0.08636288561413812,721428575.0
MO,532233,36084,0.06779737445817903,523897300.0
AL,520510,27284,0.05241782098326641,400560925.0
CO,518204,48183,0.09298075661322568,727508500.0
SC,496384,28003,0.056413985946364105,418337825.0
LA,447393,25759,0.0575757778954968,381926975.0
MN,398752,39517,0.09910169729556216,577216150.0
WI,391542,29877,0.07630599016197497,431629250.0
CT,375297,35785,0.09535114855700952,547351900.0
KY,371942,21887,0.058845196294045846,313505100.0
NV,366236,32657,0.08916927882567524,470037000.0
OK,326756,20691,0.06332247915876067,310592850.0
OR,310342,26789,0.08632089759040026,379299300.0
AR,308311,17074,0.05537914638141357,240573150.0
MS,289960,12639,0.04358877086494689,186420300.0
KS,249680,19109,0.07653396347324576,283797100.0
UT,194414,14993,0.07711893176417337,227502700.0
NM,177452,11986,0.06754502626062259,178190375.0
HI,166356,10668,0.06412753372285941,169541025.0
NH,128726,11142,0.0865559405248357,166405750.0
RI,122165,10005,0.08189743379855113,142880625.0
NE,120633,7819,0.06481642668258271,110941450.0
WV,114580,8351,0.07288357479490312,125935550.0
DE,100605,6458,0.06419164057452413,96425600.0
ID,84560,4308,0.05094607379375591,62088425.0
ME,83813,4974,0.05934640210945796,73320525.0
MT,77511,6299,0.08126588484215144,88145950.0
AK,65658,5231,0.07967041335404673,90399550.0
SD,61447,4549,0.07403127898839651,64657100.0
DC,58163,5356,0.09208603407664667,84617525.0
VT,56434,4937,0.08748272318106107,68191875.0
WY,54393,4748,0.08729064401669333,74137925.0
ND,51213,3591,0.07011891511920801,55622875.0
IA,470,14,0.029787234042553193,112800.0
